CustomerID,CustomerName,Gender,Age,City,State,Region,VendorID,VendorName,OrderID,OrderDate,ProductID,ProductName,Category,Quantity,UnitPrice,DiscountPercent,Revenue,Cost,Profit,Stock,Rating,PaymentMethod,OrderStatus,DeliveryDays,ReturnFlag,Membership,SatisfactionScore
CUST12136,Anay Seth,Male,55.0,Shahjahanpur,Madhya Pradesh,West,V005,Vendor_004,O100000,2025-12-13,P0048,Laptop,Electronics,3,1299.97,5,3704.91,2943.88,761.03,346,1.9,Wallet,Delivered,9.0,0,Platinum,9
CUST13203,Balveer Kulkarni,Male,62.0,Barasat,Punjab,West,V044,Vendor_036,O100001,2025-04-09,P0080,Lipstick,Beauty,4,2987.4,30,8364.72,7090.94,1273.78,388,1.9,COD,Delivered,2.0,1,Silver,6
CUST06202,Dakshesh Jain,Male,53.0,Junagadh,Telangana,East,V081,Vendor_080,O100002,2025-07-10,P0454,Curtains,Home,3,4054.93,25,9123.59,6238.44,2885.15,63,4.4,Wallet,Cancelled,2.0,0,Platinum,4
CUST13667,Gunbir Viswanathan,Female,28.0,Srinagar,Uttar Pradesh,East,V046,Vendor_027,O100003,2026-07-01,P0344,Chair,Home,2,4345.77,15,7387.81,4515.35,2872.46,325,2.1,UPI,Cancelled,9.0,0,Silver,8
CUST00917,Oviya Chanda,Male,20.0,Madanapalle,Gujarat,East,V052,Vendor_035,O100004,2025-11-17,P0034,Face Wash,Beauty,5,1176.11,10,5292.49,4430.56,861.93,397,1.8,Wallet,Returned,4.0,1,Gold,8
CUST09578,Turvi Rajagopal,Female,55.0,Baranagar,Rajasthan,West,V047,Vendor_029,O100005,2025-12-13,P0071,Jeans,Fashion,2,1308.47,20,2093.55,1498.13,595.42,382,3.0,UPI,Delivered,2.0,0,Platinum,3
CUST04120,Hemal Murthy,Male,61.0,Bhiwandi,Nagaland,North,V088,Vendor_069,O100006,2025-05-08,P0385,Shampoo,Beauty,1,1985.36,20,1588.29,1427.0,161.29,270,2.1,COD,Delivered,5.0,1,Silver,8
CUST10245,Eta Naidu,Female,58.0,Orai,Kerala,Central,V078,Vendor_026,O100007,2025-06-03,P0079,Tablet,Electronics,5,3833.61,20,15334.44,13265.07,2069.37,445,2.5,Card,Delivered,10.0,0,Gold,1
CUST01291,Yachana Korpal,Male,64.0,Katni,Chhattisgarh,West,V009,Vendor_098,O100008,2026-04-30,P0273,Tablet,Electronics,3,1273.32,5,3628.96,3088.98,539.98,484,4.1,Card,Shipped,9.0,0,Gold,9
CUST11681,Rushil Purohit,Female,43.0,Mangalore,Punjab,East,V057,Vendor_067,O100009,2025-12-08,P0232,Dumbbell,Sports,2,4651.68,30,6512.35,5157.6,1354.75,102,1.5,Card,Delivered,6.0,0,Platinum,9
CUST01105,Upma Mall,Male,39.0,Sagar,Tamil Nadu,North,V066,Vendor_031,O100010,2024-12-11,P0143,Dress,Fashion,2,135.24,25,202.86,152.64,50.22,117,3.7,Card,Cancelled,10.0,1,Silver,8
